names,prices,ratings,totalratings,restypes,areas,offers
Millet Express,4.450+ ratingsClosedFor Delivery₹ 200Cost for two,4.450+ ratingsClosedFor Delivery₹ 200Cost for two,50+ ratings,"Restaurant ClosedSouth Indian, Thalis, Healthy Food","Madhapur, Madhapur",Offer40% off up to ₹120| Use code HHTRUST30% off up to ₹75 | Use code SWIGGYIT
Famous Dhaba,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Biryani, Indian","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Chickpet Donne Biryani House Madhapur,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 350Cost for two,500+ ratings,"Indian, Biryani","Kavuri Hills, Madhapur, Madhapur",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO
MEESALA RAJUGARI MESS,4.920+ ratings-- MINSDelivery Time₹ 250Cost for two,4.920+ ratings-- MINSDelivery Time₹ 250Cost for two,20+ ratings,Indian,"Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Brownie Bay,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowDesserts","Madhapur, Madhapur",
COMBOWL,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"North Indian, Indian","Madhapur, Madhapur",
Chote Miyan Kebabs,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Arabian, Kebabs, Fast Food, North Indian, Indian","Meridian school road, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
FISH N CHIPS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowContinental, British","Khanamet, Madhapur",
HITECH ANGARA,2.920+ ratings-- MINSDelivery Time₹ 300Cost for two,2.920+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,North Indian,"Madhapur, Madhapur",Offer40% off on all orders up to ₹199
DHABA IN THE CITY,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Chinese, Indian, Tandoor","Madhapur, Madhapur",
The Red Dragon,3.7100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.7100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,Chinese,"60 FEET ROAD ,AYYAPPA  SOCIETY, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
FISH N CHIPS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowContinental, British","Khanamet, Madhapur",
Baguette Salads,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowSalads, Healthy Food, Beverages","Ayyappa Society, Madhapur",
A'la Minute by Tickles,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowContinental, Andhra, North Indian, Kerala","Ayyappa Society Road, Madhapur",
100N,4.21000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"Juices, Healthy Food, Salads, Beverages","Hitech City Road, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
Chaurasta,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Indian,"Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Hitech Bawarchi Food Court,3.71000+ ratings-- MINSDelivery Time₹ 250Cost for two,3.71000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"Biryani, Hyderabadi, North Indian, Tandoor, Mughlai, Chinese, Haleem","Indian Oil Fuel Station, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Yum Yum Tree,3.9100+ ratings-- MINSDelivery Time₹ 550Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 550Cost for two,100+ ratings,"Arabian, Fast Food","Vittal Rao Nagar, Madhapur",
Sip R Slurp,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowJuices","Madhapur, Madhapur",
ARK Batter & Dough,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowPizzas","Madhapur, Madhapur",
Smoothie Shack,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 4 pm, tomorrowIndian","Madhapur, Madhapur",
Greens and more,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowHealthy Food, Salads, Continental","Madhapur, Madhapur",
Dragon chopsticks,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowChinese, Italian, Fast Food, Beverages, Tibetan, Desserts","Madhapur, Madhapur",Offer40% off on all orders
Sri Sai Meals,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowSVANidhi Street Food Vendor, Indian, Biryani","Madhapur, Madhapur",
Seema Dosai,3.8100+ ratingsClosedFor Delivery₹ 200Cost for two,3.8100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 7 am, WednesdaySouth Indian","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code TRYNEW
Maggi Box,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 5 pm, tomorrowSnacks","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Nashta Express,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Home Food, Indian","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Mandil,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, Mughlai","Opposite Trident Hotel, Madhapur",
Jubilee Ridge,4.150+ ratings-- MINSDelivery Time₹ 350Cost for two,4.150+ ratings-- MINSDelivery Time₹ 350Cost for two,50+ ratings,"Andhra, Beverages, Chinese, Juices, Biryani, Kebabs","Madhapur, Madhapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
Babai Tiffins,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowFast Food","Ayyappa society, Madhapur",
KEBAB KA BAAP,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Chinese, Indian, Tandoor","Madhapur, Madhapur",
Fresh Box,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowFast Food, Beverages","Madhapur, Madhapur",Offer20% off on orders above ₹249 up to ₹45
AMMA TIFFIN CENTER,4.820+ ratings-- MINSDelivery Time₹ 150Cost for two,4.820+ ratings-- MINSDelivery Time₹ 150Cost for two,20+ ratings,South Indian,"Madhapur, Madhapur",
Lakshmi fried chicken,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Snacks, Beverages","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Cake On Call,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Pizzas, Bakery, Snacks","Madhapur, Madhapur",
Shakes for U,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowJuices, Beverages","100 Feet Rd, Mega Hills, Madhapur",
Noodles Avenue,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, SaturdayChinese, Fast Food","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Zomoz - The Momo Company,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowStreet Food, Fast Food, Chinese, Tibetan, Asian","Hitech City, Madhapur",
Pepper Jack,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowPizzas, Fast Food","Jai Hind Gandhi Rd, Madhapur",
Euphoria,4.7100+ ratings-- MINSDelivery Time₹ 800Cost for two,4.7100+ ratings-- MINSDelivery Time₹ 800Cost for two,100+ ratings,Desserts,"Madhapur, Madhapur",Offer10% off up to ₹300 on orders above ₹1000 | Use code PARTY
Maa Palle Vantakalu,3.9500+ ratings-- MINSDelivery Time₹ 400Cost for two,3.9500+ ratings-- MINSDelivery Time₹ 400Cost for two,500+ ratings,"Andhra, South Indian, Biryani","ayyappa society main road, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Mr & Mrs Aavakaya Biryani,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"Andhra, South Indian, Biryani","ayyappa society main road, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Dilli 6,4.1100+ ratingsClosedFor Delivery₹ 400Cost for two,4.1100+ ratingsClosedFor Delivery₹ 400Cost for two,100+ ratings,"Opens next at 11 am, WednesdayNorth Indian, Chinese, Tandoor, Biryani, Haleem","Khanamet, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Hormuz Biryani,3.720+ ratingsClosedFor Delivery₹ 350Cost for two,3.720+ ratingsClosedFor Delivery₹ 350Cost for two,20+ ratings,"Restaurant ClosedIndian, Biryani, Beverages, Mughlai","Madhapur, Madhapur",
The Bowl Tree,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Restaurant ClosedIndian, Biryani, Beverages, Mughlai","Madhapur, Madhapur",
Lassi Corner,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowDesserts, Beverages","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Caferia,4.250+ ratingsClosedFor Delivery₹ 250Cost for two,4.250+ ratingsClosedFor Delivery₹ 250Cost for two,50+ ratings,"Opens next at 8 am, tomorrowAmerican, Salads, Continental","Madhapur, Madhapur",
Frozen Bottle,3.820+ ratings-- MINSDelivery Time₹ 250Cost for two,3.820+ ratings-- MINSDelivery Time₹ 250Cost for two,20+ ratings,"Beverages, Desserts, Ice Cream","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code TRYNEW50% off up to ₹100 | Use code SWIGGYIT
Cakes Gallery,3.720+ ratings-- MINSDelivery Time₹ 500Cost for two,3.720+ ratings-- MINSDelivery Time₹ 500Cost for two,20+ ratings,Desserts,"Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Minerva Xpress,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,South Indian,"Huda Techno Enclave, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
RANAS RESTAURANT,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowSnacks, Chinese, North Indian, Biryani","Madhapur, Madhapur",
Burger Mischief,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Italian-American, Mexican, Snacks, Fast Food, Continental, Beverages","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Little Italy,3.9100+ ratings-- MINSDelivery Time₹ 850Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 850Cost for two,100+ ratings,"Pizzas, Salads, Combo, Italian, Mexican, Desserts, Beverages","Patrika Nagar, Madhapur",Offer20% off up to ₹120 on orders above ₹500 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Little Spice,3.6100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.6100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"North Indian, Chinese, Biryani","Madhapur, Madhapur",
Ohri's Happy Takeaway,--Too Few Ratings-- MINSDelivery Time₹ 380Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 380Cost for two,Too Few Ratings,"Indian, Chinese, Bakery","Madhapur, Madhapur",
Yummpy's Biryani Bowls,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Restaurant ClosedBiryani, Chinese","Madhapur, Madhapur",
FISH BITE,4.020+ ratings-- MINSDelivery Time₹ 300Cost for two,4.020+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,Indian,"100 Feet Road, Madhapur",
hungry hunters shawarma,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowArabian","Madhapur, Madhapur",
Chatpati Chaat Chai And Juices,3.6100+ ratings-- MINSDelivery Time₹ 90Cost for two,3.6100+ ratings-- MINSDelivery Time₹ 90Cost for two,100+ ratings,"Snacks, Chaat, Juices, Beverages, British, Cafe, Free Delivery ! Limited Stocks!, Salads, Burmese, Italian, Tandoor, Home Food, Fast Food, Andhra, Chinese, Combo, Indian, South Indian, Continental, Desserts","Madhapur, Hyderabad, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Arabian Grillz,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 9 pm, tomorrowArabian, Lebanese","Madhapur, Madhapur",
Varalakshmi Tiffins,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,Restaurant ClosedSouth Indian,"Madhapur, Madhapur",
BOX21,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian","Vittal Rao Nagar, Madhapur",
ZAIKA HOME,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 10:30 am, tomorrowNorth Indian","Madhapur, Madhapur",
HYDERABAD BIRYANI,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBiryani","Madhapur, Madhapur",
BEYOND BAJJI,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 2 pm, tomorrowIndian","Madhapur, Madhapur",
ENGLISH BREAKFAST COMPANY,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowAmerican","Madhapur, Madhapur",
Reddy Gari Ruchulu,3.7100+ ratings-- MINSDelivery Time₹ 200Cost for two,3.7100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Indian, Andhra, Biryani","Ayyappa Society, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
The Rooster,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 12:30 pm, tomorrowFast Food, Snacks","Arunodaya Colony, Madhapur",
Shaakos,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Beverages, Ice Cream, Special Discount from (The Scoop)","Chanda Naik Nagar, Madhapur",Offer50% off up to ₹250 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Lunch Box,4.050+ ratings-- MINSDelivery Time₹ 200Cost for two,4.050+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,"Indian, Biryani, Chinese, Tandoor, South Indian","Vittal Rao Nagar Rd, Madhapur",
JUNKTION 77,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Italian, Chinese, Indian","Madhapur, Madhapur",
Sweets Dude,--Too Few RatingsClosedFor Delivery₹ 320Cost for two,--Too Few RatingsClosedFor Delivery₹ 320Cost for two,Too Few Ratings,"Restaurant ClosedSweets, Desserts","Madhapur, Madhapur",
Kubera - Authentic Telugu Cuisine,3.950+ ratings-- MINSDelivery Time₹ 500Cost for two,3.950+ ratings-- MINSDelivery Time₹ 500Cost for two,50+ ratings,"Indian, Chinese","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
THE BOWL PROJECT,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowChinese","Madhapur, Madhapur",
Desi Rice Bowls And Pulaos,--Too Few RatingsClosedFor Delivery₹ 260Cost for two,--Too Few RatingsClosedFor Delivery₹ 260Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowChinese, North Indian, South Indian","Madhapur, Madhapur",
Firewater Kitchen & Bar,4.1100+ ratings-- MINSDelivery Time₹ 800Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 800Cost for two,100+ ratings,"Chinese, North Indian","Hitec City, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO
Quick Cakes,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7:30 am, tomorrowBakery, Desserts","Madhapur, Madhapur",
Panda Pavilion - Chinese Kitchen,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,Restaurant ClosedChinese,"Madhapur, Madhapur",
Cafe Southern,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowArabian, Indian, Andhra, Biryani","Madhapur, Madhapur",
Ibaco,4.5100+ ratings-- MINSDelivery Time₹ 800Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 800Cost for two,100+ ratings,"Ice Cream, Desserts","HUDA Techno Enclave, Madhapur",
Rajula Bhojanam,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowAndhra","Madhapur, Madhapur",
Snack Jack,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowItalian, Chinese, Fast Food","Sri Sai Nagar, Madhapur",
the chocolate room madhapur,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Italian, Beverages, Pastas, Snacks","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
California Burrito,4.4500+ ratings-- MINSDelivery Time₹ 500Cost for two,4.4500+ ratings-- MINSDelivery Time₹ 500Cost for two,500+ ratings,"Mexican, American, Salads, Continental","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Hyderabad Juice Company,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowBeverages","Madhapur, Madhapur",Offer50% off on orders above ₹399 up to ₹195
Chop and chew restaurant,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,Too Few Ratings,"Indian, Chinese, Tandoor, Fast Food, Beverages","Madhapur, Madhapur",
Taste of Rajasthan,4.1500+ ratings-- MINSDelivery Time₹ 350Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 350Cost for two,500+ ratings,"North Indian, Rajasthani, Chinese, Thalis","Hi Tech City Road, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
TASTE OF SHAWARMA,4.0500+ ratingsClosedFor Delivery₹ 250Cost for two,4.0500+ ratingsClosedFor Delivery₹ 250Cost for two,500+ ratings,"Opens next at 11 am, tomorrowMediterranean, Biryani, Lebanese, Arabian","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
The Smoky Tadka,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowChinese, North Indian","Madhapur, Madhapur",
Vellanki Foods,4.41000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.41000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"Sweets, Desserts","Kavuri Hills,phase 1, Madhapur",
Paradise Tea House,4.3100+ ratings-- MINSDelivery Time₹ 150Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,Indian,"Ayyappa Society, Madhapur",
Vegland,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Restaurant ClosedNorth Indian, Continental, Biryani, South Indian, Beverages","Madhapur, Madhapur",
THICKSHAKE RAJA,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages","Madhapur, Madhapur",
Chai Toh Banti Hai,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Beverages,"Madhapur, Madhapur",
Cheesecake & Co. by Olio,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,Restaurant ClosedBakery,"Madhapur, Madhapur",
Chilipi China,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowChinese, North Indian","Madhapur, Madhapur",Offer50% off on orders above ₹200 up to ₹100
Fruitfull,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,500+ ratings,"Healthy Food, Salads, Continental, Desserts","Parvatha Nagar Temple Road, Tulasi Nagar, Madhapur",Offer40% off up to ₹120| Use code HHTRUST20% off up to ₹50 | Use code SWIGGYIT
Rajdhani kitchen,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian, Continental","Madhapur, Madhapur",
Cream Stone,4.51000+ ratings-- MINSDelivery Time₹ 350Cost for two,4.51000+ ratings-- MINSDelivery Time₹ 350Cost for two,1000+ ratings,"Ice Cream, Desserts","Hitech City Road, Madhapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO25% off up to ₹65 | Use code SWIGGYIT
juice bar,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11:10 am, tomorrowBeverages, Juices","Madhapur, Madhapur",
SHREE KRISHNA GRAND,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian, Chinese","Madhapur, Madhapur",
Burger And Maggiz Zone,4.050+ ratingsClosedFor Delivery₹ 200Cost for two,4.050+ ratingsClosedFor Delivery₹ 200Cost for two,50+ ratings,"Opens next at 7 am, tomorrowBeverages, Continental, Snacks","Madhapur, Madhapur",Offer20% off on orders above ₹249 up to ₹45
The Tea Planet,3.7500+ ratings-- MINSDelivery Time₹ 90Cost for two,3.7500+ ratings-- MINSDelivery Time₹ 90Cost for two,500+ ratings,"Beverages, Snacks, Juices, Home Food, Combo, Fast Food, Continental, Desserts, Ice Cream, Cafe, Italian, Biryani, Chinese, Andhra, Indian, South Indian","Kavuri Hills Phase 1, Madhapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
The Big Cup Theory,4.120+ ratingsClosedFor Delivery₹ 600Cost for two,4.120+ ratingsClosedFor Delivery₹ 600Cost for two,20+ ratings,"Opens next at 12 noon, tomorrowCafe, European","AYYAPPA SOCIETY, Madhapur",Offer30% off on orders above ₹199 up to ₹300
Chakhh de punjab,4.4100+ ratings-- MINSDelivery Time₹ 350Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 350Cost for two,100+ ratings,"Punjabi, North Indian","Madhapur, Madhapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY
